name,ratings,reviews,companytype,locations,Highly_Rated_For,Critically_Rated_For
Aditya Birla Sun Life Insurance,4.0,3.8k,Insurance,Mumbai +496 other locations,"Work Life Balance, Company Culture, Job Security",
Grasim Industries,4.0,3.8k,Building Material,Bharuch +249 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Kyndryl,4.0,3.8k,IT Services & Consulting,Bengaluru +38 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Reliance Communications,4.0,3.8k,Telecom,Mumbai +468 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Altruist Technologies,4.4,3.8k,BPO,Bengaluru +43 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Carelon Global Solutions,3.9,4.2k,IT Services & Consulting,Bengaluru +21 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
PNB MetLife,3.4,3.8k,Insurance,New Delhi +425 other locations,"Job Security, Company Culture, Work Satisfaction",
XpressBees,4.2,3.8k,Logistics,Pune +479 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
ADP Private Limited,3.9,3.8k,Software Product,Hyderabad +41 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Aditya Birla Capital,3.8,3.8k,NBFC,Mumbai +344 other locations,Work Life Balance,Promotions / Appraisal
Viatris,4.1,3.8k,Pharma,Hyderabad +80 other locations,"Salary & Benefits, Job Security, Work Life Balance",
PVR INOX,3.9,3.8k,Media & Entertainment,New Delhi +149 other locations,Job Security,Promotions / Appraisal
Escorts Kubota Limited,4.1,3.8k,Automobile,Faridabad +158 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Maersk,4.0,3.7k,Logistics,Chennai +49 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Cloudnine Hospital,4.5,3.7k,Healthcare,Bengaluru +46 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
KPIT Technologies,2.9,3.7k,Software Product,Pune +43 other locations,"Promotions / Appraisal, Job Security, Company Culture",
Synechron,3.4,3.7k,IT Services & Consulting,Pune +33 other locations,"Job Security, Promotions / Appraisal, Work Satisfaction",
Birlasoft,3.5,3.7k,IT Services & Consulting,Pune +50 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
JK Cement,4.0,3.7k,Building Material,New Delhi +333 other locations,Salary & Benefits,
Glenmark Pharmaceuticals,3.8,3.7k,Pharma,Mumbai +187 other locations,Promotions / Appraisal,
Dabur,3.8,3.7k,FMCG,New Delhi +322 other locations,Salary & Benefits,Promotions / Appraisal
Sodexo,4.0,3.7k,Facility Management Services,Mumbai +161 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Bharat Electronics,4.2,3.7k,Electronics Manufacturing,Bengaluru +87 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
